Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Failed Login sampler,277,669,531,1121,1319,2990,327,3957,0.000%,.38676,70.90,0.00
Existing User - Comment and Post sampler,600,4101,3524,6386,9855,10708,1691,13537,3.833%,1.00347,417.87,0.00
New User - Comment and Post sampler,600,5496,4785,8631,10711,16813,2575,18519,5.000%,.90186,371.36,0.00
TOTAL,1477,4024,3594,7416,10012,12393,327,18519,3.588%,2.03261,753.73,0.00
