Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
signup request,2994,13433,1030,30079,30085,60072,237,60153,"41,149%","2,79660","1,24","0,90"
login request,2994,642,487,983,1136,5623,64,30080,"41,349%","2,79781","1,64","0,78"
get all posts request,2994,775,517,947,1187,10233,63,30945,"41,951%","2,79989","36,36","0,80"
get comments request,920,686,242,543,667,30249,63,31390,"41,522%",",86316","0,35","0,26"
insert post request,9620,789,279,591,749,30134,63,60002,"40,644%","9,00080","5,85","5,41"
get images request,6180,552,350,589,699,1859,82,59642,"0,356%","11,98741","4,96","4,32"
insert comment request,9200,774,283,595,718,30145,63,60027,"41,761%","8,63026","4,95","4,23"
TOTAL,34902,1811,341,870,5052,30105,63,60153,"34,044%","32,57440","52,66","14,41"
