Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Existing User - Comment and Post sampler,297,42719,31534,100004,104203,130838,2398,153974,13.468%,.19106,204.61,0.00
New User - Comment and Post sampler,300,49682,31929,107906,119903,238037,4128,284910,27.000%,.14722,142.16,0.00
Failed Login sampler,250,2410,1353,3314,4147,5443,346,180024,0.400%,.14216,28.51,0.00
TOTAL,847,33288,16695,96251,109007,180009,346,284910,14.404%,.41566,322.85,0.00
