Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
signup request,20398,332,259,656,786,976,157,5281,"0,000%","13,67626","6,65","4,54"
login request,20396,304,230,636,757,931,144,1922,"0,000%","13,67980","10,00","3,98"
get all posts request,20392,236,216,346,401,550,99,2636,"0,000%","13,68424","301,64","4,88"
get images request,75058,112,103,152,173,237,63,2171,"0,000%","50,38501","20,12","18,59"
insert post request,67102,134,127,177,198,267,70,2206,"0,000%","45,04475","37,44","30,18"
get comments request,6172,111,104,149,172,244,64,402,"0,000%","4,14515","1,85","1,54"
insert comment request,61698,142,135,187,209,279,73,1113,"0,000%","41,42596","29,37","23,30"
TOTAL,271216,164,133,255,319,734,63,5281,"0,000%","181,84159","406,69","86,91"
