Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
signup request,14914,780,484,2058,2597,3380,209,8697,"0,000%","9,35110","4,71","2,93"
login request,14901,737,429,1996,2489,3302,162,11002,"0,000%","9,35344","7,04","2,55"
get all posts request,14897,164,141,235,289,544,77,1428,"0,000%","9,36557","193,04","3,21"
insert post request,53880,122,102,182,208,405,69,1788,"0,000%","33,88978","27,79","22,24"
get images request,53441,125,103,187,213,426,70,1555,"0,000%","33,61797","14,02","11,94"
get comments request,4155,142,117,199,249,476,76,1579,"0,000%","2,61552","1,20","0,93"
insert comment request,41506,188,175,281,313,700,88,2199,"0,000%","26,11940","18,23","14,33"
TOTAL,197694,236,126,404,686,2381,69,11002,"0,000%","123,93847","265,27","57,95"
